Ticker,Market Cap,Date,Close Price,Price change,Volume / Avg,Last max price,Last max volume,Close / SMA50,Close / SMA150,Close / SMA200,SMA50 / SMA150,SMA50 / SMA200,SMA150 / SMA200,Trending up,Beta,Max mov5,Max mov30,VIX,VIX SMA20,Close / SMA10,Sell Date,Holding Duration,Profit,Sell reason
APH, 80.65B,2024-04-29,  60.52$,  1.36,  0.97,3650,1,  1.09,  1.25,  1.28,  1.14,  1.18,  1.03,  1.04,1.258,  2.33,  2.80, 14.67, 16.24,  1.07,2025-03-28,333,10.0297%,"End of data, max: 29.46%"
PEG, 40.70B,2024-04-29,  66.58$,  1.22,  1.03,506,1,  1.07,  1.12,  1.13,  1.05,  1.06,  1.01,  1.01,0.617,  1.29,  3.25, 14.67, 16.24,  1.04,2025-03-28,333,22.6044%,"End of data, max: 39.86%"
APH, 80.65B,2024-06-12,  68.08$,  2.21,  1.05,3650,5,  1.11,  1.27,  1.35,  1.15,  1.22,  1.06,  1.05,1.258,  2.44,  2.79, 12.04, 12.76,  1.04,2025-03-28,289,-2.1886%,"End of data, max: 15.09%"
HLT, 54.31B,2024-06-12, 210.32$,  2.35,  1.03,46,6,  1.04,  1.10,  1.16,  1.06,  1.12,  1.06,  1.03,1.293,  2.35,  3.89, 12.04, 12.76,  1.05,2025-03-28,289,7.3174%,"End of data, max: 29.94%"
ARES, 45.70B,2024-07-12, 139.84$,  1.03,  0.72,31,1,  1.04,  1.10,  1.16,  1.07,  1.12,  1.05,  1.03,1.257,  2.93,  3.99, 12.46, 12.55,  1.04,2025-01-24,195,40.0100%,"Gain, min: -6.19%"
BRO, 35.24B,2024-07-12,  93.35$,  1.92,  1.16,3650,9,  1.05,  1.14,  1.18,  1.08,  1.12,  1.04,  1.02,0.856,  1.92,  2.36, 12.46, 12.55,  1.04,2025-03-28,259,31.6872%,"End of data, max: 31.69%"
HLI, 11.09B,2024-07-12, 140.03$,  1.93,  0.85,3650,7,  1.06,  1.12,  1.17,  1.05,  1.10,  1.05,  1.03,0.732,  1.93,  3.39, 12.46, 12.55,  1.04,2025-03-28,259,12.9044%,"End of data, max: 35.18%"
ITT, 10.48B,2024-07-12, 134.04$,  2.06,  0.95,32,8,  1.03,  1.07,  1.13,  1.04,  1.10,  1.05,  1.03,1.426,  2.49,  3.71, 12.46, 12.55,  1.06,2025-03-28,259,-3.9764%,"End of data, max: 18.54%"
PBA, 23.22B,2024-08-26,  39.80$,  1.20,  1.03,3650,1,  1.07,  1.13,  1.16,  1.06,  1.08,  1.02,  1.03,1.455,  1.65,  2.46, 16.15, 19.81,  1.04,2025-03-28,214,0.3266%,"End of data, max: 8.92%"
HEI, 32.18B,2024-11-11, 263.35$,  1.54,  0.95,17,1,  1.02,  1.13,  1.18,  1.10,  1.16,  1.05,  1.04,1.261,  3.18,  3.73, 14.97, 19.28,  1.05,2025-03-28,137,1.0290%,"End of data, max: 5.90%"
VTR, 30.06B,2025-01-24,  60.82$,  2.32,  0.70,31,1,  1.01,  1.03,  1.09,  1.02,  1.08,  1.06,  1.03,1.401,  3.20,  3.28, 14.85, 16.67,  1.04,2025-03-28,63,13.0549%,"End of data, max: 15.87%"
AVERAGE,,,,,,,,,,,,,,,,,,,,,,258.68,-4.3496% (-6.0820%),
