Ticker,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Rank
RKDA,143.9,93,92,46,96,250
IESC,143.67,93,88,52,96,251
DERM,143.65,93,91,73,44,252
POET,143.59,93,91,93,98,253
SOUN,143.33,93,93,91,99,254
ROAD,143.26,93,92,61,94,255
KARO,143.07,93,84,86,86,256
NVFY,142.82,93,83,11,0,257
TISI,142.8,93,97,84,92,258
SJT,142.71,93,96,90,26,259
OLO,142.7,93,90,68,87,260
KGEI,142.7,93,95,98,81,261
OMAB,142.7,93,90,71,49,262
YEXT,142.54,93,70,45,85,263
SBSW,142.48,93,82,40,33,264
APEI,142.17,93,93,92,91,265
ICCC,141.95,93,80,73,58,266
CCRD,141.66,93,82,84,91,267
AISP,141.66,93,75,57,11,268
RDVT,141.46,93,94,92,91,269
VEON,141.35,93,93,92,81,270
LIVE,141.29,93,69,5,1,271
OR,141.25,93,92,61,67,272
MGIC,141.14,93,87,86,68,273
SFM,141.12,93,95,93,95,274
AVPT,140.95,93,93,84,95,275
ADCT,140.93,93,7,12,83,276
CMPO,140.92,93,90,93,97,277
CPS,140.75,93,97,51,54,278
NRXP,140.61,93,45,80,2,279
CAPR,140.31,93,47,98,99,280
PHAR,139.92,93,70,50,23,281
AEM,139.79,93,94,93,77,282
ASTS,139.59,93,99,99,99,283
WPM,139.55,93,93,89,63,284
GOSS,139.51,92,85,94,20,285
ULS,139.49,92,93,82,74,286
GH,139.42,92,94,91,87,287
VSTA,139.38,92,94,86,7,288
NWG,139.32,92,93,92,87,289
III,139.25,92,89,44,41,290
HYMC,139.19,92,91,75,37,291
TWLO,139.17,92,83,92,93,292
SGMA,138.96,92,14,3,13,293
LRN,138.68,92,96,95,89,294
JVA,138.24,92,86,99,98,295
NPCE,138.18,92,85,74,80,296
NVCT,138.12,92,88,90,6,297
CDTX,137.98,92,92,95,92,298
SNOW,137.9,92,81,55,77,299
IPI,137.84,92,96,67,57,300
TFPM,137.8,92,92,80,52,301
SWKH,137.49,92,93,57,28,302
DY,137.48,92,72,24,63,303
HCI,137.44,92,92,91,65,304
IBEX,137.25,92,94,94,67,305
SAN,137.17,92,94,93,46,306
TMDX,137.12,92,59,19,5,307
QFIN,137.11,92,96,97,96,308
WHLRD,137.11,92,95,95,88,309
BCRX,136.79,92,94,72,64,310
TIGO,136.76,92,93,89,58,311
ABAT,136.73,92,82,27,5,312
NGVC,136.71,92,97,93,95,313
KLTR,136.52,92,93,93,93,314
PAYC,136.23,92,87,86,82,315
CEG,136.22,92,82,51,85,316
NTRB,136.18,92,75,97,68,317
FIX,136.17,92,82,33,91,318
VNET,136.11,92,98,99,92,319
SII,136.01,92,89,63,62,320
FNGR,135.98,92,96,7,11,321
PDEX,135.95,92,97,97,97,322
DB,135.69,92,96,94,63,323
FRHC,135.55,92,95,92,88,324
AMSC,135.53,91,57,25,93,325
CRWD,135.42,91,93,48,68,326
GNE,135.29,91,68,39,14,327
STRT,135.25,91,85,92,87,328
MSB,135.17,91,96,94,86,329
MAG,134.71,91,74,80,81,330
LLYVA,134.71,91,94,93,94,331
APH,134.57,91,87,47,72,332
ZLAB,134.43,91,91,96,76,333
CW,134.31,91,82,57,83,334
PVLA,134.3,91,96,97,55,335
NTES,134.19,91,84,82,51,336
X,133.97,91,77,41,41,337
LLYVK,133.97,91,93,93,94,338
LSF,133.73,91,92,98,99,339
TGI,133.54,91,95,96,84,340
PM,133.53,91,95,92,68,341
TOMZ,133.52,91,65,58,17,342
GROY,133.42,91,71,55,19,343
LUNR,133.41,91,89,70,98,344
TME,133.31,91,85,76,73,345
LQDA,133.3,91,85,85,40,346
HFFG,133.21,91,92,6,44,347
PZG,133.2,91,86,39,19,348
UNFI,133.2,91,95,95,93,349
FORD,133.13,91,96,31,21,350
ANGO,133.12,91,73,89,73,351
FSM,133.09,91,90,74,68,352
TGTX,132.95,91,95,97,93,353
GE,132.83,91,83,87,67,354
VOXR,132.8,91,91,52,59,355
CYD,132.67,91,96,98,31,356
ATI,132.33,91,79,38,44,357
LMND,132.25,91,91,94,98,358
VHC,132.12,91,89,96,12,359
BOSC,131.99,91,86,89,65,360
VSTM,131.84,91,95,96,78,361
TOST,131.74,91,83,86,93,362
SKWD,131.68,91,92,76,83,363
ATOM,131.44,91,63,88,95,364
GDS,131.34,91,97,99,95,365
TPR,131.25,90,95,94,88,366
ELVA,131.21,90,78,39,35,367
CGNT,131.18,90,84,58,76,368
PEGA,131.14,90,80,48,89,369
PODD,130.98,90,81,75,74,370
EXEL,130.89,90,91,94,86,371
MOS,130.88,90,78,42,23,372
PRDO,130.86,90,87,81,80,373
REKR,130.61,90,7,42,3,374
ICL,130.54,90,94,90,55,375
CIEN,130.31,90,82,80,86,376
IDCC,130.31,90,94,95,91,377
TSLA,130.05,90,75,46,94,378
UXIN,130.03,90,96,96,96,379
CALX,129.98,90,80,32,26,380
KOPN,129.97,90,87,85,41,381
SPWH,129.92,90,23,5,10,382
GEO,129.92,90,97,93,97,383
ALNY,129.84,90,80,85,79,384
NCSM,129.82,90,93,91,85,385
FNV,129.82,90,91,86,40,386
JBL,129.81,90,82,71,55,387
DOCU,129.81,90,82,87,94,388
FPH,129.74,90,90,96,71,389
LYG,129.64,90,93,92,36,390
LITE,129.62,90,74,47,94,391
SMMT,129.52,90,98,98,99,392
RDFN,129.48,90,82,86,61,393
ATAT,129.46,90,84,93,90,394
CHCI,129.24,90,95,60,89,395
WOR,129.2,90,89,35,15,396
RDIB,129.11,90,94,37,2,397
CIB,129.04,90,92,90,48,398
PTON,129.02,90,93,63,96,399
EMX,129.02,90,87,59,37,400
EXOD,128.98,90,98,98,99,401
AVAH,128.85,90,90,61,91,402
LOMA,128.75,90,91,89,93,403
ELPC,128.67,90,88,55,13,404
BFLY,128.63,89,90,96,98,405
STRM,128.63,89,24,11,4,406
OSIS,128.63,89,93,85,79,407
GOGO,128.61,89,49,26,20,408
BBD,128.58,89,69,33,9,409
ESEA,128.56,89,89,33,41,410
EGO,128.47,89,90,45,54,411
MIND,128.46,89,84,96,24,412
BTG,128.39,89,86,55,32,413
FCAP,128.35,89,95,90,36,414
AGI,128.35,89,94,92,67,415
BPMC,128.19,89,55,41,44,416
FINV,128.06,89,93,94,85,417
PTGX,128.02,89,83,95,70,418
PBI,127.81,89,91,96,89,419
VRSN,127.7,89,95,90,40,420
SOFI,127.66,89,91,87,96,421
RRGB,127.56,89,4,30,52,422
PGRE,127.42,89,54,36,37,423
TGLS,127.36,89,79,77,92,424
KB,127.29,89,77,41,50,425
PWR,127.02,89,80,31,75,426
WVVI,127.01,89,92,95,10,427
PLYA,126.91,89,92,94,66,428
EQT,126.88,89,91,87,66,429
COOP,126.76,89,90,84,67,430
ADMA,126.76,89,97,93,97,431
CCM,126.64,89,85,25,12,432
WWD,126.51,89,80,61,55,433
CYBR,126.45,89,89,79,74,434
ELTX,126.31,89,27,95,46,435
NXT,126.25,89,56,54,18,436
LARK,126.11,89,93,81,73,437
XTNT,126.1,89,31,24,2,438
ESE,126.03,89,92,91,75,439
BBDO,126.03,89,74,43,11,440
JCI,125.94,89,86,76,74,441
PAYS,125.94,89,20,13,25,442
BCS,125.85,89,92,91,82,443
FUTU,125.79,89,91,96,91,444
MTZ,125.73,89,86,50,85,445
ALHC,125.73,89,94,97,84,446
MRCY,125.63,88,92,88,53,447
NEXN,125.51,88,94,78,93,448
TRUP,125.49,88,88,30,92,449
QD,125.42,88,86,84,90,450
RYTM,125.22,88,88,59,78,451
BBW,125.16,88,73,85,89,452
MELI,125.12,88,85,73,41,453
CCB,125.04,88,91,96,92,454
UVE,125.0,88,91,62,56,455
SPNT,124.88,88,94,63,69,456
REAL,124.8,88,95,91,99,457
TG,124.8,88,87,81,88,458
EVGO,124.69,88,75,15,96,459
APG,124.59,88,84,49,52,460
KD,124.55,88,86,90,89,461
VEEV,124.52,88,74,77,62,462
MP,124.5,88,95,95,82,463
TCI,124.48,88,72,45,26,464
PL,124.43,88,89,95,94,465
SNEX,124.42,88,95,91,85,466
SAP,124.25,88,90,86,75,467
DADA,124.21,88,80,88,33,468
BB,124.13,88,84,96,35,469
FTDR,124.1,88,77,36,87,470
DG,124.06,88,68,32,10,471
CHEF,124.04,88,93,89,76,472
EXE,123.97,88,88,83,70,473
CAR,123.94,88,69,21,41,474
RNXT,123.84,88,32,17,85,475
MLYS,123.83,88,89,85,67,476
RDDT,123.75,88,88,94,98,477
ATEC,123.73,88,89,66,61,478
IBKR,123.67,88,83,87,91,479
DGICB,123.63,88,91,84,56,480
ELP,123.46,88,87,50,12,481
CNK,123.43,88,85,59,91,482
CCJ,123.41,88,65,27,77,483
JOBY,123.38,88,71,63,89,484
FORTY,123.31,88,68,80,71,485
DAN,123.31,88,88,81,58,486
AUR,123.29,87,94,97,98,487
ACAD,123.04,87,32,55,44,488
GLNG,123.03,87,85,67,91,489
FFIV,122.96,87,84,90,81,490
OCS,122.92,87,78,93,80,491
PAC,122.89,87,86,73,70,492
CAKE,122.87,87,83,85,80,493
CSV,122.67,87,86,87,83,494
SONY,122.51,87,91,87,59,495
RIGL,122.43,87,90,89,94,496
VIRT,122.43,87,92,91,89,497
HCSG,122.39,87,91,42,59,498
BTI,122.35,87,90,88,63,499
FIVE,122.32,87,37,13,20,500
BJRI,122.28,87,75,60,48,501
BA,122.22,87,73,33,16,502
SLM,122.21,87,91,91,78,503
GRNQ,122.19,87,42,33,31,504
BCH,122.11,87,93,81,34,505
WHLRP,122.11,87,95,98,92,506
VSEC,122.07,87,89,89,87,507
NG,122.06,87,88,49,30,508
PUK,122.06,87,91,73,23,509
KEN,122.06,87,76,87,79,510
SXT,121.98,87,89,55,50,511
LAUR,121.97,87,92,86,73,512
SFIX,121.95,87,48,83,79,513
ALNT,121.93,87,46,36,57,514
RMNI,121.92,87,94,97,16,515
MDWD,121.67,87,50,48,59,516
SLS,121.66,87,90,48,15,517
NOTV,121.6,87,15,44,94,518
SBS,121.36,87,88,66,30,519
OWLT,121.34,87,34,50,46,520
SNOA,121.33,87,52,44,17,521
SENEA,121.27,87,93,94,75,522
WING,121.23,87,32,9,26,523
MYRG,121.22,87,85,21,79,524
CLOV,121.2,87,97,98,98,525
LPLA,121.17,87,84,79,80,526
NFG,121.13,87,91,91,50,527
RUM,121.12,86,53,90,86,528
TXNM,121.1,86,88,82,70,529
LBRDK,120.99,86,92,91,74,530
FMS,120.98,86,90,75,59,531
BBAR,120.96,86,96,97,97,532
PCRX,120.94,86,76,80,28,533
ITUB,120.92,86,85,54,15,534
LBRDA,120.89,86,91,91,74,535
BBIO,120.87,86,90,78,34,536
LI,120.84,86,75,87,32,537
DRI,120.82,86,86,87,45,538
FVRR,120.76,86,59,40,83,539
ONIT,120.76,86,88,65,70,540
UGI,120.68,86,91,91,67,541
ONC,120.49,86,88,92,54,542
STNE,120.49,86,84,26,6,543
SITM,120.49,86,80,69,96,544
EE,120.41,86,77,92,93,545
NRIM,120.4,86,89,80,88,546
CBRL,120.37,86,35,38,39,547
AENT,120.37,86,34,93,99,548
EHC,120.32,86,88,76,70,549
BKNG,120.32,86,88,72,84,550
WILC,120.28,86,90,93,90,551
BH,120.27,86,82,71,76,552
STN,120.2,86,80,57,43,553
WRLD,120.15,86,67,49,33,554
PCT,120.11,86,35,74,96,555
NATH,120.08,86,90,89,64,556
BLIN,120.02,86,95,87,84,557
XP,119.81,86,60,45,5,558
BOOT,119.6,86,40,27,81,559
FCUV,119.49,86,94,89,5,560
OLB,119.46,86,17,5,4,561
TUYA,119.39,86,88,98,58,562
SYPR,119.36,86,43,45,25,563
RAIL,119.35,86,75,85,96,564
BWXT,119.35,86,63,39,77,565
INTU,119.33,86,67,43,39,566
AMBP,119.26,86,84,30,34,567
IBM,119.22,85,86,90,68,568
SHAK,119.18,85,41,26,88,569
TSHA,119.17,85,74,14,45,570
NEM,119.14,85,88,66,32,571
U,119.13,85,73,51,76,572
CART,119.12,85,78,61,76,573
ATLC,118.96,85,94,82,95,574
GEL,118.94,85,87,81,19,575
GLDD,118.92,85,71,20,86,576
VRT,118.91,85,52,31,93,577
AAP,118.88,85,13,19,23,578
SENEB,118.88,85,93,94,76,579
IMAX,118.86,85,80,88,85,580
CXW,118.79,85,95,81,91,581
RBKB,118.77,85,88,84,69,582
AMPL,118.77,85,48,86,64,583
EPSN,118.75,85,83,90,63,584
IFS,118.74,85,91,85,71,585
CPRX,118.57,85,86,77,74,586
ULTA,118.49,85,62,33,30,587
TTWO,118.46,85,94,86,66,588
GSIT,118.46,85,82,23,24,589
BHST,118.45,85,81,41,49,590
T,118.35,85,93,93,72,591
SPRY,118.28,85,86,53,89,592
WULF,118.2,85,30,31,98,593
PRTH,118.15,85,88,92,97,594
PHYS,118.09,85,90,85,55,595
CVLT,118.05,85,85,78,89,596
ODC,117.99,85,85,90,38,597
ERJ,117.95,85,92,97,84,598
FLEX,117.95,85,72,52,82,599
VS,117.9,85,84,91,48,600
LDWY,117.89,85,50,29,29,601
CRESY,117.87,85,82,78,92,602
PLNT,117.84,85,88,83,79,603
TALK,117.79,85,76,54,87,604
GILD,117.7,85,85,95,66,605
IRS,117.66,85,90,85,95,606
DXPE,117.6,85,94,94,93,607
EPRX,117.49,85,92,94,60,608
AM,117.44,84,87,85,49,609
HIMX,117.36,84,78,94,63,610
LTH,117.34,84,94,93,76,611
DGICA,117.33,84,93,87,61,612
EM,117.27,84,89,96,61,613
PARR,117.25,84,23,10,7,614
JEQ,117.25,84,87,59,42,615
FBIOP,117.22,84,37,16,8,616
PRM,117.19,84,65,54,94,617
HSBC,117.17,84,89,92,64,618
THC,117.17,84,72,50,67,619
WRB,117.1,84,90,75,57,620
