Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
RBLX, 40.37B,  45.08$,21.72%,24.63%,2023-02-14,6.68%,220.00%,2023-02-16,2,-9.32%
VMC, 31.44B, 195.45$,7.05%,16.70%,2023-02-14,4.07%,184.23%,2023-02-20,6,-7.64%
FIX, 12.50B, 146.81$,18.89%,38.91%,2023-02-23,4.35%,231.68%,2023-03-12,17,-6.68%
DKS, 16.91B, 146.79$,11.68%,36.19%,2023-03-06,4.63%,529.36%,2023-03-22,16,-4.73%
AGI, 10.90B,  11.32$,9.69%,30.15%,2023-03-16,5.04%,246.72%,2023-04-20,35,12.54%
AU, 17.89B,  20.64$,15.13%,24.24%,2023-03-16,3.97%,204.78%,2023-04-30,45,28.29%
FNV, 29.54B, 143.50$,8.21%,8.21%,2023-03-16,4.08%,273.68%,2023-04-25,40,5.57%
WPM, 34.17B,  45.30$,8.63%,21.56%,2023-03-16,2.89%,204.85%,2023-04-20,35,8.41%
FCNCA, 25.30B, 895.61$,38.55%,17.30%,2023-03-26,3.08%,1249.13%,2023-05-01,36,10.94%
CMG, 67.57B,  40.20$,15.53%,28.56%,2023-04-25,4.57%,460.74%,2023-05-22,27,1.85%
ADBE,173.92B, 415.39$,15.33%,19.40%,2023-05-25,4.49%,159.43%,2023-08-07,74,25.33%
ADBE,173.92B, 490.91$,18.04%,40.44%,2023-06-14,3.15%,182.11%,2023-08-07,54,6.05%
PKG, 17.90B, 152.65$,13.99%,15.57%,2023-07-24,4.97%,210.96%,2023-08-14,21,-3.24%
INSM, 13.89B,  26.37$,18.56%,33.78%,2023-09-04,8.80%,723.50%,2023-09-27,23,-2.31%
DASH, 81.86B,  87.79$,15.63%,24.79%,2023-11-01,3.08%,277.80%,2023-11-08,6,-3.71%
NRG, 19.90B,  45.13$,9.51%,25.76%,2023-11-01,5.25%,156.55%,2024-01-10,69,11.92%
