Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
FNV, 29.54B, 143.50$,  8.21%,  8.21%,2023-03-16, 4.08%,273.68%,2023-04-18,33,6.0836%
WPM, 34.17B,  45.30$,  8.63%, 21.56%,2023-03-16, 2.89%,204.85%,2023-04-16,31,9.7572%
FCNCA, 25.30B, 895.61$, 38.55%, 17.30%,2023-03-26, 3.08%,1249.13%,2023-04-13,18,9.0854%
BCH, 13.63B,  20.53$,  4.52%,  5.82%,2023-04-25, 4.29%,121.40%,2023-05-15,20,6.5270%
CMG, 67.57B,  40.20$, 15.53%, 28.56%,2023-04-25, 4.57%,460.74%,2023-05-08,13,1.1349%
GIB, 22.49B, 101.31$,  3.75%, 17.98%,2023-04-25, 2.69%,131.47%,2023-05-03,8,-2.0037%
ZTS, 72.73B, 186.23$,  6.57%, 16.08%,2023-05-04, 3.35%,106.97%,2023-05-15,11,-2.5667%
IT, 32.63B, 321.21$,  4.94%,  1.33%,2023-05-15, 2.29%,104.61%,2023-06-06,22,5.6754%
ADBE,173.92B, 415.39$, 15.33%, 19.40%,2023-05-25, 4.49%,159.43%,2023-06-25,31,15.4361%
CLS, 10.38B,  12.85$, 15.17%, 13.23%,2023-05-25, 8.79%,128.16%,2023-06-27,33,10.9728%
ETN,113.23B, 182.46$,  6.62%, 15.42%,2023-05-25, 2.46%,106.27%,2023-06-27,33,6.7357%
UMC, 16.75B,   8.66$,  7.88%, 17.76%,2023-05-25, 5.77%,140.70%,2023-06-04,10,-5.6582%
ADBE,173.92B, 490.91$, 18.04%, 40.44%,2023-06-14, 3.15%,182.11%,2023-06-25,11,-2.3222%
JBL, 15.93B, 104.64$, 15.27%, 40.27%,2023-06-14, 4.44%,134.58%,2023-06-25,11,-3.0677%
PKG, 17.90B, 152.65$, 13.99%, 15.57%,2023-07-24, 4.97%,210.96%,2023-08-06,13,0.2620%
CBOE, 22.77B, 145.57$,  3.71%, 11.67%,2023-08-03, 4.50%,105.04%,2023-08-23,20,2.2669%
DVA, 12.04B, 108.81$,  5.38%, 27.16%,2023-08-03, 2.00%,158.87%,2023-08-13,10,-1.7002%
RKT, 26.38B,  11.18$,  8.83%, 31.28%,2023-08-03, 2.33%,167.96%,2023-08-14,11,-2.5939%
INSM, 13.89B,  26.37$, 18.56%, 33.78%,2023-09-04, 8.80%,723.50%,2023-09-18,14,-0.2275%
PGR,159.70B, 154.95$,  9.03%, 14.90%,2023-10-12, 3.19%,145.90%,2023-10-25,13,-0.7035%
AIG, 49.71B,  64.36$,  5.32%, 12.18%,2023-11-01, 2.16%,125.85%,2023-11-14,12,-1.3673%
APG, 10.37B,  27.50$,  6.19%, 11.91%,2023-11-01, 4.29%,128.06%,2024-01-01,60,19.5636%
CYBR, 17.11B, 173.49$,  5.86%, 14.72%,2023-11-01, 2.01%,236.79%,2023-12-10,38,15.6320%
DASH, 81.86B,  87.79$, 15.63%, 24.79%,2023-11-01, 3.08%,277.80%,2023-11-26,24,7.0167%
NRG, 19.90B,  45.13$,  9.51%, 25.76%,2023-11-01, 5.25%,156.55%,2023-11-20,18,0.1551%
PRMB, 12.66B,  14.50$,  8.08%,  1.11%,2023-11-01, 4.76%,244.95%,2023-11-14,12,1.1724%
PTC, 19.43B, 146.32$,  3.91%,  8.00%,2023-11-01, 6.22%,107.30%,2023-11-27,25,5.5563%
SHOP,135.56B,  59.70$, 15.52%,  9.73%,2023-11-01, 3.45%,275.50%,2023-12-05,33,19.1625%
SPGI,155.80B, 375.92$,  4.86%,  1.66%,2023-11-01, 2.90%,156.44%,2023-12-06,34,11.0289%
TRGP, 44.71B,  90.25$,  6.07%, 16.32%,2023-11-01, 7.59%,166.49%,2023-11-06,4,-5.2410%
TYL, 24.97B, 405.75$,  6.99%,  9.04%,2023-11-01, 4.50%,163.86%,2023-11-16,14,1.3777%
CPAY, 25.28B, 251.63$,  7.29%,  5.95%,2023-11-30, 4.64%,111.15%,2024-01-02,33,10.8731%
NBIX, 11.43B, 128.45$,  8.49%, 22.59%,2023-12-21, 4.33%,207.00%,2024-01-09,19,3.0673%
COR, 52.53B, 232.68$,  7.47%, 23.36%,2024-01-30, 2.01%,156.23%,2024-02-08,9,-0.8552%
MMYT, 11.83B,  55.39$, 14.93%, 53.26%,2024-01-30, 3.20%,274.47%,2024-02-13,14,3.7371%
NMR, 19.37B,   5.74$, 17.35%, 41.98%,2024-01-30, 2.79%,158.18%,2024-02-08,9,-5.2265%
CYBR, 17.11B, 281.31$, 19.21%, 60.76%,2024-02-08, 5.43%,321.95%,2024-02-19,11,-11.1301%
OWL, 32.53B,  17.47$, 12.14%, 38.46%,2024-02-08, 2.35%,234.91%,2024-02-27,19,2.0034%
