Ticker,Market Cap,Close Price,Above SMA20,Above SMA200,Date,Latest Close Price Change,Latest Volume Change avg100,Sell Date,Holding Duration,Profit
KR, 43.45B,  55.10$, 19.73%, 30.10%,2022-03-02, 5.17%,269.59%,2022-03-15,13,-0.1996%
NTR, 24.71B,  99.39$, 25.16%, 47.94%,2022-03-06, 3.19%,319.82%,2022-03-15,9,-5.6042%
TS, 21.56B,  28.42$,  9.14%, 28.45%,2022-03-06, 3.27%,215.10%,2022-03-14,8,-6.8262%
CLH, 10.81B, 101.00$,  5.52%,  1.93%,2022-03-07, 3.22%,204.43%,2022-03-22,15,4.7228%
CCJ, 18.83B,  27.05$, 19.39%, 25.90%,2022-03-08, 8.69%,204.17%,2022-03-14,6,-7.5786%
OXY, 46.75B,  57.50$, 30.49%, 82.68%,2022-03-08, 9.86%,523.14%,2022-03-14,6,-5.1652%
JBHT, 15.14B, 218.06$, 10.73%, 18.87%,2022-03-15, 8.08%,216.27%,2022-03-23,8,-4.4116%
STLD, 19.24B,  84.21$, 18.37%, 32.84%,2022-03-17, 5.38%,225.01%,2022-03-28,11,-0.0594%
FLEX, 14.10B,  13.98$, 11.28%,  5.48%,2022-03-30, 3.99%,371.21%,2022-04-05,6,-7.3315%
SBS, 12.09B,  10.92$, 22.60%, 54.26%,2022-03-31, 5.49%,296.29%,2022-04-13,13,-2.6557%
EBR, 16.27B,   9.01$, 19.97%, 29.95%,2022-04-07, 3.55%,224.73%,2022-04-18,11,-3.2186%
AMCR, 13.88B,  12.02$,  3.35%,  1.63%,2022-04-26, 3.49%,260.24%,2022-05-01,5,-2.6622%
AMCR, 13.88B,  13.12$, 11.29%, 10.75%,2022-05-03, 3.43%,251.12%,2022-05-17,14,-2.9726%
CIB, 10.66B,  44.91$, 17.87%, 26.32%,2022-05-30, 4.25%,368.72%,2022-06-07,8,-6.9472%
BJ, 14.55B,  65.43$, 10.02%,  5.05%,2022-06-23, 5.18%,816.13%,2022-07-24,31,5.3798%
PFGC, 12.17B,  48.00$, 14.11%,  2.53%,2022-06-23, 9.52%,983.71%,2022-07-28,35,3.5625%
RPRX, 19.46B,  43.20$,  7.27%,  9.46%,2022-06-23, 3.94%,299.62%,2022-07-11,18,-1.4815%
CEG, 71.08B,  64.59$, 13.15%,  0.00%,2022-07-27, 3.11%,209.14%,2022-08-21,25,23.3163%
FSLR, 13.48B,  99.17$, 37.17%, 20.85%,2022-07-28, 8.81%,471.69%,2022-08-21,24,15.4381%
EHC, 10.16B,  53.35$,  8.18%,  4.23%,2022-08-02, 4.40%,293.00%,2022-08-17,15,-0.7310%
ESLT, 17.88B, 239.19$,  5.97%, 25.20%,2022-08-02, 3.21%,313.13%,2022-08-14,12,-2.9098%
SFM, 14.85B,  30.83$, 13.07%, 10.88%,2022-08-03, 3.31%,219.42%,2022-08-24,21,-1.9137%
FWONK, 22.16B,  68.33$,  8.81%, 12.32%,2022-08-09, 3.58%,539.11%,2022-08-21,12,-2.2593%
REGN, 69.24B, 708.85$, 15.28%, 12.06%,2022-09-07, 3.08%,471.14%,2022-09-20,13,-3.4168%
BBDO, 22.43B,   3.26$,  5.70%,  3.12%,2022-09-21, 3.07%,235.98%,2022-09-22,1,-4.9080%
BBDO, 22.43B,   3.31$,  8.44%,  4.75%,2022-10-02, 8.16%,285.88%,2022-10-10,8,-6.0423%
SBS, 12.09B,  11.15$, 20.05%, 31.57%,2022-10-02, 3.68%,377.86%,2022-10-12,10,-4.7534%
